,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
69,1989,0.317918985814187,0.5447028971028955,251943.55894105893,0.5781520529470522,0.1191086373726273,0.1982288211788213,-11.466778721278738,0.0639953046953046,120.35936463536478,0.5436300199800204,38.55144855144855,7,1
70,1990,0.3430753494671315,0.5335102589641431,256029.35856573703,0.5657791633466145,0.1318738892679279,0.1888367031872508,-11.428036852589637,0.0640801792828685,120.02910507968156,0.5257967131474102,40.16832669322709,7,1
71,1991,0.3453804541442726,0.5555509193776516,238606.8731730316,0.5542013908533706,0.1393581698679867,0.1883468646864688,-11.076072135785004,0.0702384724186704,119.7914743045732,0.5599732673267316,38.95190947666195,7,1
72,1992,0.3343240367081679,0.5551345617529867,244357.30278884465,0.5748604033864543,0.1066944141284858,0.1968737051792836,-10.694650896414313,0.0723148406374501,122.68904282868516,0.558718177290838,42.45517928286853,7,1
73,1993,0.3202810248411124,0.5697258192651433,247680.36494538232,0.5500387735849049,0.1117993630834162,0.1921856007944394,-11.084442403177771,0.0768702581926514,120.42230933465726,0.5555585402184717,42.3480635551142,7,1
74,1994,0.3210457251708768,0.5497064883605771,251335.2426944032,0.5678848588410114,0.1179957304011885,0.1911326399207532,-10.527020307082717,0.0752059930658743,117.95952055473002,0.5240133729569089,44.42199108469539,7,1
75,1995,0.3170510066266869,0.559848325837082,246106.46826586704,0.5678576361819088,0.1264724950174913,0.1987610694652677,-10.302394802598716,0.0821737131434281,118.96503898050968,0.5298185907046475,44.22188905547226,0,1
76,1996,0.3095110248639287,0.5877860465116282,251576.08560118757,0.5798754329539842,0.1005772226076201,0.1998732310737262,-9.574210291934673,0.0859682830282038,117.9722988619496,0.5607850074220692,44.01979218208808,7,1
77,1997,0.3127344482831768,0.5742233349778002,245644.06117414896,0.5967071189935861,0.110611746354218,0.2019142575234336,-9.25627676369018,0.0897555994079921,118.14932511100156,0.545356092747903,44.64578194375925,7,1
78,1998,0.301000800791544,0.5806880039331366,249384.6263520157,0.5992130235988209,0.1264879134464109,0.1952516224188787,-9.140027040314664,0.0888924287118975,118.07008210422836,0.5292852015732544,44.85496558505408,7,1
79,1999,0.2863127265783131,0.5815058313253012,242510.8424096385,0.6280656756626509,0.1134943609734941,0.2059028915662652,-8.489800963855412,0.0935493493975903,119.47584771084333,0.5530626506024097,45.24,0,1
