,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
8270,0.767,Booker T. & the M.G.'s,0.816,176333,0.514,0,0.949,10,0.0899,-8.741,1,Green Onions,67,0.0339,136.83700000000002,0.912,1962
8271,0.763,Nat King Cole,0.308,121987,0.381,0,0.0,5,0.0649,-11.143,1,"Caroling, Caroling",61,0.0302,185.319,0.597,1962
8272,0.635,Nat King Cole,0.266,141147,0.217,0,7.76e-06,5,0.268,-11.745,1,O Come All Ye Faithful,62,0.0326,112.046,0.196,1962
8273,0.993,Bill Evans,0.478,324200,0.0294,0,0.948,0,0.105,-25.31900000000001,1,Skating In Central Park,64,0.0453,124.308,0.148,1962
8273,0.993,Jim Hall,0.478,324200,0.0294,0,0.948,0,0.105,-25.31900000000001,1,Skating In Central Park,64,0.0453,124.308,0.148,1962
8306,0.628,Elvis Presley,0.845,126693,0.563,0,0.0,8,0.0614,-9.488,1,"Return to Sender - From ""Girls! Girls! Girls!""",60,0.0439,130.335,0.969,1962
8300,0.7959999999999999,Françoise Hardy,0.588,144827,0.414,0,0.0,1,0.152,-10.116,0,Le temps de l'amour - Fox Medium,60,0.0336,132.22899999999998,0.7090000000000001,1962
8274,0.691,Sam Cooke,0.4579999999999999,159853,0.8009999999999999,0,0.0,9,0.3279999999999999,-7.83,1,Twistin' the Night Away,63,0.0565,160.547,0.93,1962
8275,0.86,Andy Williams,0.281,162893,0.212,0,7.730000000000001e-05,6,0.119,-15.513,1,"Moon River (From ""Breakfast at Tiffany's"")",65,0.031,95.555,0.195,1962
8277,0.955,Tony Bennett,0.313,170960,0.078,0,4.48e-06,0,0.1689999999999999,-17.583,1,(I Left My Heart) In San Francisco,61,0.0332,128.065,0.125,1962
8284,0.758,Roy Orbison,0.35,166467,0.293,0,8.21e-06,2,0.104,-9.502,1,Crying,60,0.0258,96.685,0.162,1962
8287,0.428,Ben E. King,0.632,175493,0.2319999999999999,0,4.95e-06,9,0.215,-12.326,1,Stand by Me,62,0.0318,119.136,0.6729999999999999,1962
8507,0.6829999999999999,Stan Getz,0.578,216227,0.364,0,0.0539,2,0.105,-15.162,1,Só Danço Samba,60,0.0441,78.07300000000002,0.723,1963
8507,0.6829999999999999,Luiz Bonfá,0.578,216227,0.364,0,0.0539,2,0.105,-15.162,1,Só Danço Samba,60,0.0441,78.07300000000002,0.723,1963
8482,0.513,Martha Reeves & The Vandellas,0.514,163053,0.624,0,0.00517,0,0.307,-9.287,0,(Love Is Like A) Heat Wave,62,0.0842,166.726,0.755,1963
8485,0.608,The Beatles,0.6729999999999999,117013,0.349,0,0.0,4,0.38,-12.414,1,Do You Want To Know A Secret - Remastered 2009,61,0.0368,124.451,0.609,1963
